ID;name;reference;DOI;M_j1;j_0;type;parameters
1;Primbs(2,2);Primbs, M.: Biorthogonal bases of compactly supported wavelets. 2006;;[[1.06066017177982,0,0,0],[-0.795495128834866,0.176776695296637,0,0],[0.176776695296637,0.353553390593274,0,0],[0.0883883476483185,-1.06066017177982,0.176776695296637,0],[0,0.353553390593274,0.353553390593274,0],[0,0.176776695296637,-1.06066017177982,0.0883883476483185],[0,0,0.353553390593274,0.176776695296637],[0,0,0.176776695296637,-0.795495128834866],[0,0,0,1.06066017177982]];2;Primbs;["d",2,"d_tilde",2]
2;Primbs(2,4);Primbs, M.: Biorthogonal bases of compactly supported wavelets. 2006;;[[0.773398041922782,-0.331456303681198,0,0,0,0,0,0],[-0.805622960336236,0.124296113880448,-0.0331456303681197,0,0,0,0,0],[0.443783162150936,0.580048531442095,-0.0662912607362394,0,0,0,0,0],[0.146393200792528,-0.952936873083432,0.176776695296636,-0.0331456303681197,0,0,0,0],[-0.15099676056588,0.342504847137232,0.419844651329511,-0.0662912607362394,0,0,0,0],[-0.0616877009628897,0.146393200792527,-0.994368911043583,0.176776695296637,-0.0331456303681194,0,0,0],[0.0276213586401005,-0.0497184455521786,0.419844651329512,0.419844651329513,-0.0662912607362388,0,0,0],[0.0138106793200503,-0.0248592227760893,0.176776695296637,-0.994368911043582,0.176776695296637,-0.0331456303681194,0,0],[0,0,-0.0662912607362388,0.419844651329513,0.419844651329513,-0.0662912607362388,0,0],[0,0,-0.0331456303681194,0.176776695296637,-0.994368911043582,0.176776695296637,-0.0248592227760893,0.0138106793200503],[0,0,0,-0.0662912607362388,0.419844651329513,0.419844651329512,-0.0497184455521787,0.0276213586401005],[0,0,0,-0.0331456303681194,0.176776695296637,-0.994368911043584,0.146393200792527,-0.0616877009628898],[0,0,0,0,-0.0662912607362395,0.419844651329509,0.342504847137232,-0.15099676056588],[0,0,0,0,-0.0331456303681198,0.176776695296635,-0.952936873083432,0.146393200792528],[0,0,0,0,0,-0.06629126073624,0.580048531442095,0.443783162150936],[0,0,0,0,0,-0.03314563036812,0.124296113880448,-0.805622960336236],[0,0,0,0,0,0,-0.331456303681199,0.773398041922782]];3;Primbs;["d",2,"d_tilde",4]
3;Primbs(2,6);Primbs, M.: Biorthogonal bases of compactly supported wavelets. 2006;;[[0.63805338458632,-0.174014559432765,0.096674755239917,0,0,0,0,0,0,0,0,0,0,0,0,0],[-0.781615396118251,0.0971581290164852,-0.0410867709773619,0.00690533966004381,0,0,0,0,0,0,0,0,0,0,0,0],[0.627142947923368,0.368330817465735,-0.178848297194641,0.0138106793200876,0,0,0,0,0,0,0,0,0,0,0,0],[0.121741138206259,-0.926627528978712,0.166763952789652,-0.0469563096881736,0.0069053396600367,0,0,0,0,0,0,0,0,0,0,0],[-0.38366067151085,0.60684124932303,0.512376202773945,-0.107723298696435,0.0138106793200734,0,0,0,0,0,0,0,0,0,0,0],[-0.0914957504952844,0.182646234007671,-0.954663207998404,0.169871355636611,-0.0469563096881558,0.00690533966005091,0,0,0,0,0,0,0,0,0,0],[0.200669170520281,-0.241548781307689,0.406724505975437,0.447466009969656,-0.107723298696385,0.0138106793201018,0,0,0,0,0,0,0,0,0,0],[0.067465168478426,-0.0856952651809111,0.156866299276893,-0.966747552403466,0.169871355636616,-0.0469563096881416,0.00690533966002427,0,0,0,0,0,0,0,0,0],[-0.0657388335634289,0.0701582509458663,-0.0929919074216521,0.447466009969603,0.447466009969617,-0.107723298696385,0.0138106793200485,0,0,0,0,0,0,0,0,0],[-0.0280356790197003,0.0302453877109134,-0.04074150399414,0.169871355636609,-0.966747552403482,0.169871355636615,-0.0469563096881702,0.00690533966002482,0,0,0,0,0,0,0,0],[0.00966747552402836,-0.00966747552403957,0.0115088994333722,-0.107723298696385,0.44746600996961,0.447466009969615,-0.107723298696389,0.0138106793200496,0,0,0,0,0,0,0,0],[0.00483373776201418,-0.00483373776201978,0.0057544497166861,-0.0469563096881678,0.169871355636611,-0.966747552403482,0.169871355636612,-0.0469563096881692,0.00690533966002488,0,0,0,0,0,0,0],[0,0,0,0.0138106793200498,-0.107723298696388,0.447466009969612,0.447466009969612,-0.107723298696388,0.0138106793200498,0,0,0,0,0,0,0],[0,0,0,0.00690533966002488,-0.0469563096881692,0.169871355636612,-0.966747552403483,0.169871355636612,-0.0469563096881692,0.00690533966002488,0,0,0,0,0,0],[0,0,0,0,0.0138106793200498,-0.107723298696388,0.447466009969612,0.447466009969612,-0.107723298696388,0.0138106793200498,0,0,0,0,0,0],[0,0,0,0,0.00690533966002488,-0.0469563096881692,0.169871355636612,-0.966747552403483,0.169871355636612,-0.0469563096881692,0.00690533966002488,0,0,0,0,0],[0,0,0,0,0,0.0138106793200498,-0.107723298696388,0.447466009969612,0.447466009969612,-0.107723298696388,0.0138106793200498,0,0,0,0,0],[0,0,0,0,0,0.00690533966002488,-0.0469563096881692,0.169871355636612,-0.966747552403483,0.169871355636612,-0.0469563096881692,0.00690533966002488,0,0,0,0],[0,0,0,0,0,0,0.0138106793200498,-0.107723298696388,0.447466009969612,0.447466009969612,-0.107723298696388,0.0138106793200498,0,0,0,0],[0,0,0,0,0,0,0.00690533966002488,-0.0469563096881692,0.169871355636612,-0.966747552403483,0.169871355636612,-0.0469563096881692,0.00690533966002488,0,0,0],[0,0,0,0,0,0,0,0.0138106793200498,-0.107723298696388,0.447466009969612,0.447466009969612,-0.107723298696388,0.0138106793200498,0,0,0],[0,0,0,0,0,0,0,0.00690533966002488,-0.0469563096881692,0.169871355636612,-0.966747552403482,0.169871355636611,-0.0469563096881674,0.00575444971668608,-0.00483373776201975,0.00483373776201418],[0,0,0,0,0,0,0,0,0.0138106793200497,-0.107723298696389,0.447466009969615,0.447466009969609,-0.107723298696385,0.0115088994333722,-0.0096674755240395,0.00966747552402836],[0,0,0,0,0,0,0,0,0.00690533966002483,-0.0469563096881701,0.169871355636614,-0.966747552403483,0.169871355636608,-0.0407415039941401,0.0302453877109134,-0.0280356790197003],[0,0,0,0,0,0,0,0,0,0.0138106793200488,-0.107723298696387,0.447466009969614,0.4474660099696,-0.0929919074216524,0.0701582509458662,-0.0657388335634289],[0,0,0,0,0,0,0,0,0,0.00690533966002439,-0.0469563096881473,0.169871355636618,-0.966747552403466,0.156866299276892,-0.0856952651809108,0.067465168478426],[0,0,0,0,0,0,0,0,0,0,0.0138106793200922,-0.107723298696378,0.447466009969658,0.406724505975436,-0.241548781307688,0.200669170520281],[0,0,0,0,0,0,0,0,0,0,0.00690533966004611,-0.0469563096881466,0.169871355636609,-0.954663207998405,0.182646234007671,-0.0914957504952844],[0,0,0,0,0,0,0,0,0,0,0,0.013810679320085,-0.107723298696439,0.512376202773944,0.60684124932303,-0.38366067151085],[0,0,0,0,0,0,0,0,0,0,0,0.00690533966004248,-0.0469563096881714,0.166763952789653,-0.926627528978712,0.121741138206259],[0,0,0,0,0,0,0,0,0,0,0,0,0.0138106793200965,-0.178848297194638,0.368330817465735,0.627142947923369],[0,0,0,0,0,0,0,0,0,0,0,0,0.00690533966004825,-0.0410867709773611,0.0971581290164847,-0.781615396118251],[0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966747552399161,-0.174014559432766,0.63805338458632]];4;Primbs;["d",2,"d_tilde",6]
4;Primbs(2,8);Primbs, M.: Biorthogonal bases of compactly supported wavelets. 2006;;[[0.555448258902527,-0.111089651780689,0.042726789145786,-0.0271897749187762,0,0,0,0,0,0,0,0,0,0,0,0],[-0.754814508973807,0.0769031339417671,-0.0238812232191712,0.0136434406256001,-0.00151054305045761,0,0,0,0,0,0,0,0,0,0,0],[0.763349847896048,0.264895919664224,-0.0904892355841285,0.0544766561699763,-0.00302108610091523,0,0,0,0,0,0,0,0,0,0,0],[0.059721169149722,-0.880187115983363,0.127748013025615,-0.0569528678059532,0.0129475118617108,-0.00151054304973286,0,0,0,0,0,0,0,0,0,0],[-0.643907509596604,0.803156973115241,0.345985261635358,-0.168382391781883,0.0289161098243369,-0.00302108609946572,0,0,0,0,0,0,0,0,0,0],[-0.0514902508932259,0.153618374824059,-0.931215109878798,0.164287741143244,-0.0529984818905547,0.0129475118623645,-0.00151054304569698,0,0,0,0,0,0,0,0,0],[0.540927007810153,-0.495920223467122,0.620011643353236,0.496957874068372,-0.134913073605446,0.0289161098241948,-0.00302108609139395,0,0,0,0,0,0,0,0,0],[0.0965075165467083,-0.108622071811185,0.177321569754104,-0.946770620558321,0.16382918343416,-0.0529984818902563,0.0129475118660594,-0.00151054305229081,0,0,0,0,0,0,0,0],[-0.347911974716736,0.278676079844752,-0.265368503845029,0.437928009561176,0.462571440473766,-0.134913073604707,0.0289161098235127,-0.00302108610458163,0,0,0,0,0,0,0,0],[-0.0980211423389133,0.0827535596573733,-0.0849595690605907,0.157252926366159,-0.951642121897936,0.163829183434871,-0.0529984818908815,0.012947511862194,-0.00151054305063044,0,0,0,0,0,0,0],[0.151869690038909,-0.113168960530005,0.095449365723848,-0.123422156828859,0.462571440476552,0.462571440474449,-0.134913073605276,0.0289161098289696,-0.00302108610126089,0,0,0,0,0,0,0],[0.0561482724262823,-0.0424763164462702,0.0365882812899116,-0.0488175145180145,0.163829183434324,-0.951642121897673,0.163829183435212,-0.0529984818898015,0.0129475118625467,-0.00151054305063044,0,0,0,0,0,0],[-0.0395731451863447,0.0282163276374645,-0.0222728031440248,0.0257871277928299,-0.134913073607905,0.462571440476396,0.462571440475699,-0.134913073608573,0.0289161098263542,-0.00302108610126089,0,0,0,0,0,0],[-0.0174722048476702,0.0125059092257788,-0.00992257233490146,0.0115718387271415,-0.0529984818907452,0.163829183434319,-0.95164212189724,0.163829183433712,-0.052998481890691,0.0129475118625467,-0.00151054305063044,0,0,0,0,0],[0.00462873549100426,-0.00320450918590687,0.00242765847422188,-0.00264345033854685,0.0289161098264144,-0.134913073607757,0.462571440476012,0.462571440475998,-0.134913073607736,0.0289161098263542,-0.00302108610126089,0,0,0,0,0],[0.00231436774550213,-0.00160225459295343,0.00121382923711094,-0.00132172516927342,0.0129475118625767,-0.0529984818907016,0.163829183434138,-0.951642121897138,0.16382918343409,-0.052998481890691,0.0129475118625467,-0.00151054305063044,0,0,0,0],[0,0,0,0,-0.00302108610126089,0.0289161098263542,-0.134913073607736,0.462571440475917,0.462571440475917,-0.134913073607736,0.0289161098263542,-0.00302108610126089,0,0,0,0],[0,0,0,0,-0.00151054305063044,0.0129475118625467,-0.052998481890691,0.16382918343409,-0.951642121897136,0.163829183434119,-0.0529984818907022,0.0129475118625754,-0.00132172516927304,0.00121382923711098,-0.00160225459295344,0.00231436774550213],[0,0,0,0,0,-0.00302108610126089,0.0289161098263542,-0.134913073607736,0.462571440476001,0.462571440475973,-0.134913073607759,0.0289161098264117,-0.00264345033854608,0.00242765847422195,-0.00320450918590688,0.00462873549100426],[0,0,0,0,0,-0.00151054305063044,0.0129475118625467,-0.052998481890691,0.163829183433845,-0.951642121897175,0.163829183434308,-0.052998481890731,0.0115718387271373,-0.00992257233490223,0.0125059092257788,-0.0174722048476702],[0,0,0,0,0,0,-0.00302108610126089,0.0289161098263542,-0.13491307360831,0.462571440475867,0.462571440476375,-0.134913073607874,0.0257871277928207,-0.0222728031440264,0.0282163276374645,-0.0395731451863446],[0,0,0,0,0,0,-0.00151054305063044,0.0129475118625467,-0.0529984818895612,0.163829183435241,-0.951642121897708,0.163829183434322,-0.0488175145179969,0.0365882812899092,-0.0424763164462704,0.0561482724262823],[0,0,0,0,0,0,0,-0.00302108610126089,0.0289161098291881,-0.134913073605384,0.462571440474399,0.462571440476519,-0.123422156828815,0.0954493657238448,-0.113168960530005,0.151869690038909],[0,0,0,0,0,0,0,-0.00151054305063044,0.0129475118628157,-0.0529984818914494,0.163829183434712,-0.951642121897976,0.157252926366144,-0.0849595690605982,0.0827535596573731,-0.0980211423389136],[0,0,0,0,0,0,0,0,-0.00302108610355667,0.0289161098224855,-0.134913073604974,0.462571440473721,0.437928009561103,-0.265368503845041,0.278676079844751,-0.347911974716736],[0,0,0,0,0,0,0,0,-0.00151054305177833,0.0129475118649323,-0.052998481890405,0.163829183434347,-0.946770620558379,0.177321569754105,-0.108622071811185,0.0965075165467079],[0,0,0,0,0,0,0,0,0,-0.00302108609262097,0.0289161098241641,-0.134913073605026,0.49695787406833,0.620011643353251,-0.495920223467121,0.540927007810152],[0,0,0,0,0,0,0,0,0,-0.00151054304631049,0.0129475118622184,-0.0529984818903753,0.164287741143245,-0.9312151098788,0.153618374824062,-0.051490250893226],[0,0,0,0,0,0,0,0,0,0,-0.00302108609972729,0.0289161098242752,-0.16838239178184,0.345985261635339,0.803156973115245,-0.643907509596604],[0,0,0,0,0,0,0,0,0,0,-0.00151054304986364,0.0129475118617046,-0.0569528678059126,0.127748013025606,-0.880187115983362,0.0597211691497222],[0,0,0,0,0,0,0,0,0,0,0,-0.00302108610086593,0.0544766561700145,-0.0904892355841276,0.264895919664222,0.763349847896048],[0,0,0,0,0,0,0,0,0,0,0,-0.00151054305043297,0.0136434406256167,-0.0238812232191714,0.0769031339417665,-0.754814508973807],[0,0,0,0,0,0,0,0,0,0,0,0,-0.0271897749187811,0.0427267891457848,-0.111089651780689,0.555448258902527]];4;Primbs;["d",2,"d_tilde",8]
